web-scraper-order,web-scraper-start-url,School Name,URL,State
"1647724905-765","https://searchenginesmarketer.com/company/resources/university-college-list/","Milton Academy","http://milton.edu","MA"
"1647724905-1245","https://searchenginesmarketer.com/company/resources/university-college-list/","Lim College","http://limcollege.edu","NY"
"1647724905-181","https://searchenginesmarketer.com/company/resources/university-college-list/","William Jessup University","http://jessup.edu","CA"
"1647724905-1517","https://searchenginesmarketer.com/company/resources/university-college-list/","Slippery Rock University","http://sru.edu","PA"
"1647724905-147","https://searchenginesmarketer.com/company/resources/university-college-list/","Dominican University of California","http://dominican.edu","CA"
"1647724905-1613","https://searchenginesmarketer.com/company/resources/university-college-list/","Lincoln Memorial University","http://lmunet.edu","TN"
"1647724905-1486","https://searchenginesmarketer.com/company/resources/university-college-list/","Lock Haven University","http://lhup.edu","PA"
"1647724905-1093","https://searchenginesmarketer.com/company/resources/university-college-list/","University of North Dakota","http://und.edu","ND"
"1647724905-802","https://searchenginesmarketer.com/company/resources/university-college-list/","The Community College of Baltimore County","http://ccbcmd.edu","MD"
"1647724905-851","https://searchenginesmarketer.com/company/resources/university-college-list/","University of Maine at Presque Isle","http://umpi.edu","ME"
"1647724905-1151","https://searchenginesmarketer.com/company/resources/university-college-list/","Princeton Theological Seminary","http://ptsem.edu","NJ"
"1647724905-370","https://searchenginesmarketer.com/company/resources/university-college-list/","Delaware State University","http://desu.edu","DE"
"1647724905-1242","https://searchenginesmarketer.com/company/resources/university-college-list/","Keuka College","http://keuka.edu","NY"
"1647724905-1100","https://searchenginesmarketer.com/company/resources/university-college-list/","Chadron State College","http://csc.edu","NE"
"1647724905-1221","https://searchenginesmarketer.com/company/resources/university-college-list/","College of Environmental Science and Forestry","http://esf.edu","NY"
"1647724905-1644","https://searchenginesmarketer.com/company/resources/university-college-list/","Austin College","http://austincollege.edu","TX"
"1647724905-504","https://searchenginesmarketer.com/company/resources/university-college-list/","Cornell College","http://cornellcollege.edu","IA"
"1647724905-1593","https://searchenginesmarketer.com/company/resources/university-college-list/","South Dakota State University","http://sdstate.edu","SD"
"1647724905-863","https://searchenginesmarketer.com/company/resources/university-college-list/","Bay College","http://baycollege.edu","MI"
"1647724905-973","https://searchenginesmarketer.com/company/resources/university-college-list/","Nazarene Theological Seminary","http://nts.edu","MO"
"1647724905-1894","https://searchenginesmarketer.com/company/resources/university-college-list/","University of Wisconsin La Crosse","http://uwlax.edu","WI"
"1647724905-418","https://searchenginesmarketer.com/company/resources/university-college-list/","Pasco-Hernando State College","http://phsc.edu","FL"
"1647724905-1687","https://searchenginesmarketer.com/company/resources/university-college-list/","Ogle School","http://ogleschool.edu","TX"
"1647724905-919","https://searchenginesmarketer.com/company/resources/university-college-list/","Globe University","http://globeuniversity.edu","MN"
"1647724905-473","https://searchenginesmarketer.com/company/resources/university-college-list/","Mercer University","http://mercer.edu","GA"
"1647724905-593","https://searchenginesmarketer.com/company/resources/university-college-list/","Olivet Nazarene University","http://olivet.edu","IL"
"1647724905-1568","https://searchenginesmarketer.com/company/resources/university-college-list/","Midlands Technical College","http://midlandstech.edu","SC"
"1647724905-101","https://searchenginesmarketer.com/company/resources/university-college-list/","California Lutheran University","http://callutheran.edu","CA"
"1647724905-130","https://searchenginesmarketer.com/company/resources/university-college-list/","California State University Dominguez Hills","http://csudh.edu","CA"
"1647724905-1172","https://searchenginesmarketer.com/company/resources/university-college-list/","New Mexico State University","http://nmsu.edu","NM"
"1647724905-241","https://searchenginesmarketer.com/company/resources/university-college-list/","Rosemead College","http://rosemeadcollege.edu","CA"
"1647724905-541","https://searchenginesmarketer.com/company/resources/university-college-list/","Bradley University","http://bradley.edu","IL"
"1647724905-540","https://searchenginesmarketer.com/company/resources/university-college-list/","Benedictine University","http://ben.edu","IL"
"1647724905-1551","https://searchenginesmarketer.com/company/resources/university-college-list/","Rhose Island School of Design","http://risd.edu","RI"
